Player,Tm,Pos,Age,G,GS,Cmp/G,Att/G,Yds/G,IAY/G,IAirYds/PassA,CAY/G,CAirYds/Cmp,CAirYds/PassA,YAC/G,YdsAC/Cmp,Bats/G,ThAwy/G,Spikes/G,Drops/G,Drp%,BadTh/G,BadTh%,OnTgt/G,OnTarg%,Sk/G,PockTime,Bltz/G,Hrry/G,Prss/G,Press%,Scrm/G,Yds/Scram,Plays/G,RPO_Yds/G,RPO_PassAtt/G,RPO_PassYds/G,RPO_RushAtt/G,RPO_RushYds/G,PA_PassAtt/G,PA_PassYds/G,Year,PlID,TmID
JameisWinston,TAM,QB,25,16,16,23.75,39.125,319.312,405.375,10.4,203.062,8.6,5.2,116.25,4.9,0.688,1.375,0.125,1.438,0.038,7.75,0.206,26.312,0.699,2.938,2.5,15.062,3.75,10.062,0.229,1.938,7.4,0.562,5.125,0.5,5,0.062,0.125,5.812,70.812,2019,JameisWinston2019,TAM2019
DakPrescott,DAL,QB,26,16,16,24.25,37.25,306.375,346.188,9.3,186.5,7.7,5,119.875,4.9,0.562,0.875,0.062,2.25,0.062,5.375,0.148,28.188,0.776,1.438,2.6,9.688,2.5,7.5,0.188,1.25,7.3,3.375,28.312,2.812,23.938,0.562,4.375,8.062,77.438,2019,DakPrescott2019,DAL2019
JaredGoff,LAR,QB,25,16,16,24.625,39.125,289.875,301.562,7.7,149.25,6.1,3.8,140.625,5.7,1.062,0.938,0.062,1.688,0.044,7.688,0.202,27.312,0.716,1.375,2.6,13.688,3.25,7.625,0.185,0.625,3.8,0.125,0.188,0,0,0.125,0.188,11.375,97.75,2019,JaredGoff2019,LAR2019
PhilipRivers,LAC,QB,38,16,16,24.375,36.938,288.438,314.062,8.5,151.875,6.2,4.1,136.562,5.6,0.812,1,0.188,1.562,0.044,5.5,0.154,27.438,0.767,2.125,2.5,7.125,2.5,8.125,0.206,0.375,5.5,2.25,25.188,2.25,25.188,0,0,5.625,53.812,2019,PhilipRivers2019,LAC2019
MattRyan,ATL,QB,34,15,15,27.2,41.067,297.733,333.933,8.1,187.733,6.9,4.6,110,4,1.267,1.8,0.067,1.133,0.029,5.733,0.146,29.533,0.753,3.2,2.5,13.267,3.6,10.933,0.239,1.4,7.1,2.067,16.867,2.067,16.867,0,0,7.2,55.133,2019,MattRyan2019,ATL2019
RussellWilson,SEA,QB,31,16,16,21.312,32.25,256.875,302.25,9.4,150.125,7,4.7,106.75,5,0.562,1.25,0.188,1.062,0.034,5.688,0.185,23.5,0.763,3,2.5,13.812,4.438,11,0.289,2.812,7.4,3.188,23.562,2.375,21.5,0.562,2.062,7.312,66.188,2019,RussellWilson2019,SEA2019
TomBrady,NWE,QB,42,16,16,23.312,38.312,253.562,289.875,7.6,139.562,6,3.6,114,4.9,0.375,2.5,0,2.125,0.059,7.375,0.206,26.188,0.731,1.688,2.5,12.375,3.438,7.438,0.185,0.188,11,1.312,7.438,1.312,7.438,0,0,7.75,61.25,2019,TomBrady2019,NWE2019
DerekCarr,OAK,QB,28,16,16,22.562,32.062,253.375,210.25,6.6,120.75,5.4,3.8,132.625,5.9,0.562,1.75,0.125,1.562,0.052,3.312,0.11,24.938,0.826,1.812,2.5,6.688,4.188,7.062,0.203,0.875,5.5,1.125,7.5,1.062,6.75,0.062,0.75,5.25,44.312,2019,DerekCarr2019,OAK2019
CarsonWentz,PHI,QB,27,16,16,24.25,37.938,252.438,304.875,8,139.688,5.8,3.7,112.75,4.6,1,0.625,0.062,1.75,0.047,6.625,0.178,26.938,0.723,2.312,2.4,11.5,4.188,9.812,0.234,1.75,6.3,4.938,27.938,4.25,24.75,0.438,3.188,9.312,66.375,2019,CarsonWentz2019,PHI2019
PatrickMahomes,KAN,QB,24,14,14,22.786,34.571,287.929,305.214,8.8,148.286,6.5,4.3,139.643,6.1,0.429,1.357,0,1.786,0.054,6.071,0.183,25.643,0.772,1.214,2.5,7.714,3.857,7.5,0.2,1.643,9.3,5.071,35.5,4.571,33.5,0.429,2,8.214,64.857,2019,PatrickMahomes2019,KAN2019
AaronRodgers,GNB,QB,36,16,16,22.062,35.562,250.125,312.812,8.8,124.562,5.6,3.5,125.562,5.7,0.188,1.938,0.062,1.5,0.045,7.125,0.212,25.062,0.747,2.25,2.6,9.625,3.562,8.625,0.219,1.625,7.8,2,6.688,1.875,6.688,0,0,7.75,60.375,2019,AaronRodgers2019,GNB2019
JimmyGaroppolo,SFO,QB,28,16,16,20.562,29.75,248.625,194.125,6.5,113.688,5.5,3.8,134.938,6.6,0.375,0.438,0.125,1.75,0.06,4,0.137,23.562,0.807,2.25,2.4,12.562,2.562,6.812,0.208,0.75,4.7,1.5,21.812,1.438,21.812,0,0,7.812,89.875,2019,JimmyGaroppolo2019,SFO2019
DeshaunWatson,HOU,QB,24,15,15,22.2,33,256.8,293.067,8.9,144.4,6.5,4.4,112.4,5.1,0.4,1,0.133,1.4,0.044,5.333,0.167,24.467,0.768,2.933,2.5,11.133,3.133,8.667,0.223,2.933,7.1,6.133,42.467,4.333,34.467,1.667,8,6.267,54.2,2019,DeshaunWatson2019,HOU2019
BakerMayfield,CLE,QB,24,16,16,19.812,33.375,239.188,282.25,8.5,125.438,6.3,3.8,113.75,5.7,1.25,1.188,0.125,1.875,0.058,5.812,0.181,22.625,0.706,2.5,2.3,13.188,4.062,8.062,0.218,1.062,7.9,3.75,29.375,3.625,29.438,0.062,-0.062,7.812,70.5,2019,BakerMayfield2019,CLE2019
KylerMurray,ARI,QB,22,16,16,21.812,33.875,232.625,249.188,7.4,116.875,5.4,3.5,115.75,5.3,1.125,1.5,0.25,1.062,0.033,5.75,0.179,23.625,0.735,3,2.3,9.438,3.938,7.938,0.206,1.75,6.9,6.75,48.75,4.375,33.5,2.062,15.25,7.25,58.625,2019,KylerMurray2019,ARI2019
KirkCousins,MIN,QB,31,15,15,20.467,29.6,240.2,226.333,7.6,121.2,5.9,4.1,119,5.8,0.6,1.6,0,1.133,0.04,4.333,0.155,22.133,0.79,1.867,2.7,7.133,3.2,7.067,0.22,0.6,5.6,0.067,3.067,0.067,3.067,0,0,8.267,82.333,2019,KirkCousins2019,MIN2019
RyanFitzpatrick,MIA,QB,37,15,13,20.733,33.467,235.267,297.8,8.9,150.933,7.3,4.5,84.333,4.1,1,0.467,0.2,1.867,0.057,5.8,0.177,23.867,0.728,2.667,2.3,12.8,3.2,10.267,0.267,2.333,7.6,1,5,0.867,5,0,0,4.4,37.6,2019,RyanFitzpatrick2019,MIA2019
AndyDalton,CIN,QB,32,13,13,24.154,40.615,268.769,307,7.6,141.769,5.9,3.5,127,5.3,1.077,1.308,0.538,2.077,0.054,7.077,0.183,27.846,0.718,2.846,2.3,14.462,2.769,7.462,0.169,0.769,6,2.923,15.846,2.538,15.231,0.385,0.615,7.923,53.231,2019,AndyDalton2019,CIN2019
KyleAllen,CAR,QB,23,13,12,23.308,37.615,255.538,305,8.1,126.846,5.4,3.4,128.692,5.5,1.077,1.923,0.077,2.154,0.06,5.923,0.166,27.154,0.762,3.538,2.4,10.077,3.846,9.538,0.224,1.462,5.3,4.308,34.308,4,33.769,0.154,0.538,7.923,60.538,2019,KyleAllen2019,CAR2019
GardnerMinshewII,JAX,QB,23,14,12,20.357,33.571,233.643,239,7.1,120.5,5.9,3.6,113.143,5.6,0.571,1.286,0.071,1.714,0.053,6,0.186,23.714,0.736,2.357,2.4,10.5,3.929,8.357,0.212,3.5,7.1,1.357,14.071,1.143,13.857,0.143,0.214,4.143,47,2019,GardnerMinshewII2019,JAX2019
MitchellTrubisky,CHI,QB,25,15,15,21.733,34.4,209.2,273.867,8,115.267,5.3,3.4,93.933,4.3,0.533,0.467,0.2,1.867,0.055,6.2,0.184,25.133,0.745,2.533,2.3,9.333,3.733,8.4,0.219,1.467,5.5,2.667,13.533,1.733,8.8,0.933,4.733,5.733,46.133,2019,MitchellTrubisky2019,CHI2019
LamarJackson,BAL,QB,22,15,15,17.667,26.733,208.467,236.333,8.8,117.8,6.7,4.4,90.667,5.1,0.8,0.733,0.133,0.933,0.036,4.533,0.175,19.667,0.76,1.533,2.6,9.2,2.067,5,0.162,2.6,11,11.533,83.933,5.133,39.2,6.133,44.733,7.733,59.467,2019,LamarJackson2019,BAL2019
JoshAllen,BUF,QB,23,16,16,16.938,28.812,193.062,266.625,9.3,109.875,6.5,3.8,83.188,4.9,0.625,1.562,0.188,1.938,0.072,5.5,0.203,19.812,0.732,2.375,2.3,12.562,2.812,7.875,0.232,2.688,7.3,2.625,16.688,2,15,0.5,1.688,5.812,49.188,2019,JoshAllen2019,BUF2019
DanielJones,NYG,QB,22,13,12,21.846,35.308,232.846,283.769,8,124.538,5.7,3.5,108.308,5,0.462,0.923,0,1.308,0.038,6.154,0.179,24.462,0.711,2.923,2.5,10.077,3.692,11.692,0.29,2.077,8.4,2.846,25,2.154,22.846,0.385,2.154,5.769,49.154,2019,DanielJones2019,NYG2019
SamDarnold,NYJ,QB,22,13,13,21,33.923,232.615,278,8.2,119.154,5.7,3.5,113.462,5.4,0.769,1.769,0.154,1.923,0.06,5.692,0.178,24.077,0.752,2.538,2.5,12.769,4.846,10.385,0.28,0.615,8,2.692,18.538,2.462,18.077,0.154,0.462,7.077,51.923,2019,SamDarnold2019,NYJ2019
DrewBrees,NOR,QB,40,11,11,25.545,34.364,270.818,220.818,6.4,135.273,5.3,3.9,135.545,5.3,0.364,0.818,0.455,1.182,0.036,3.545,0.107,27.818,0.841,1.091,2.3,10.364,2.273,4.909,0.138,0,0,0.182,2.455,0.182,2.455,0,0,4.818,44.727,2019,DrewBrees2019,NOR2019
JacobyBrissett,IND,QB,27,15,15,18.133,29.8,196.133,234.733,7.9,95.8,5.3,3.2,100.333,5.5,0.8,1.4,0.2,1.6,0.057,5.2,0.184,21,0.745,1.8,2.6,9,3.733,9.133,0.27,2.2,6.1,4,22.867,3.333,20.333,0.6,2.533,7.333,55.133,2019,JacobyBrissett2019,IND2019
RyanTannehill,TEN,QB,31,12,10,16.75,23.833,228.5,226.25,9.5,124.5,7.4,5.2,104,6.2,0.5,0.417,0.25,0.75,0.032,2.917,0.126,18.75,0.809,2.583,2.6,8.667,2.083,6.667,0.241,1.25,11,0.583,7.5,0.417,7.083,0.167,0.417,6.167,91.25,2019,RyanTannehill2019,TEN2019
MatthewStafford,DET,QB,31,8,8,23.375,36.375,312.375,387.125,10.6,201.125,8.6,5.5,111.25,4.8,0.625,0.625,0.25,1.125,0.032,7.375,0.208,25.125,0.708,2.25,2.4,10.875,2.875,7.625,0.191,1.25,5.6,1.75,11.25,1,6.5,0.625,4.75,8.625,84,2019,MatthewStafford2019,DET2019
JoeFlacco,DEN,QB,34,8,8,21.375,32.75,227.75,218.75,6.7,114.375,5.4,3.5,113.375,5.3,1.125,1.5,0.125,1.875,0.06,5,0.161,24.25,0.779,3.25,2.4,9.5,5.125,10.125,0.276,0.625,4.2,0.5,2,0.5,2,0,0,4.75,35.875,2019,JoeFlacco2019,DEN2019
MasonRudolph,PIT,QB,24,10,8,17.6,28.3,176.5,228.6,8.1,83.6,4.8,3,92.9,5.3,0.4,1.4,0,1.6,0.059,5.4,0.201,19.2,0.714,1.5,2.6,11.3,3.5,8,0.26,1,5,1.4,8.9,1.3,8.8,0.1,0.1,3.9,16.5,2019,MasonRudolph2019,PIT2019
CaseKeenum,WAS,QB,31,10,8,16,24.7,170.7,170,6.9,90.7,5.7,3.7,80,5,0.6,0.7,0.2,1.2,0.05,4.1,0.172,17.3,0.727,1.5,2.5,6.4,3.5,7.7,0.291,0.3,5,1.4,5.1,1.4,5.1,0,0,4.8,42.5,2019,CaseKeenum2019,WAS2019
TeddyBridgewater,NOR,QB,27,9,5,14.778,21.778,153.778,134.222,6.2,70.222,4.8,3.2,83.556,5.7,0.444,1,0,1.778,0.086,2.444,0.118,16.889,0.813,1.333,2.5,5.111,2.444,4.889,0.2,1.333,3.3,0,0,0,0,0,0,3.222,40,2019,TeddyBridgewater2019,NOR2019
DwayneHaskins,WAS,QB,22,9,7,13.222,22.556,151.667,194.556,8.6,83.333,6.3,3.7,68.333,5.2,0.444,0.667,0.111,1.556,0.071,4.222,0.194,16.111,0.74,3.222,2.6,8.333,3.333,8.444,0.311,1.333,6.7,0.778,3.889,0.667,3.889,0,0,4.444,37.222,2019,DwayneHaskins2019,WAS2019
