Player,Tm,Pos,Age,G,GS,Tgt/G,Rec/G,Yds/G,TD/G,1D/G,YBC/G,YdsBC/Rec,YAC/G,YdsAC/Rec,AvgDOT,BrkTkl/G,Rec/BrTk,Drop/G,Drp%,Int/G,PassRat,Year,PlID,TmID
MichaelThomas,NOR,WR,26,16,15,11.562,9.312,107.812,0.562,5.688,71.375,7.7,36.438,3.9,8.1,0.312,29.8,0.375,0.032,0,121.7,2019,MichaelThomas2019,NOR2019
ChristianMcCaffrey,CAR,RB,23,16,16,8.875,7.25,62.812,0.25,3.625,-0.875,-0.1,63.688,8.8,0.6,0.875,8.3,0.438,0.049,0.125,99.7,2019,ChristianMcCaffrey2019,CAR2019
KeenanAllen,LAC,WR,27,16,16,9.312,6.5,74.938,0.375,3.938,51.562,7.9,23.375,3.6,10.1,0.25,26,0.438,0.047,0.5,84.8,2019,KeenanAllen2019,LAC2019
DeAndreHopkins,HOU,WR,27,15,15,10,6.933,77.667,0.467,4.533,51.867,7.5,25.8,3.7,10.1,0.6,11.6,0.267,0.027,0.067,105,2019,DeAndreHopkins2019,HOU2019
JulianEdelman,NWE,WR,33,16,13,9.562,6.25,69.812,0.375,3.375,49.812,8,20,3.2,9.5,0.25,25,0.812,0.085,0.188,91.9,2019,JulianEdelman2019,NWE2019
JulioJones,ATL,WR,30,15,15,10.467,6.6,92.933,0.4,5.133,68.667,10.4,24.267,3.7,12.2,0.467,14.1,0.267,0.025,0.333,91.1,2019,JulioJones2019,ATL2019
AllenRobinson,CHI,WR,26,16,15,9.625,6.125,71.688,0.438,3.938,54.688,8.9,17,2.8,11.1,0.312,19.6,0.438,0.045,0.25,90.5,2019,AllenRobinson2019,CHI2019
TravisKelce,KAN,TE,30,16,16,8.5,6.062,76.812,0.312,4.062,51.188,8.4,25.625,4.2,9,0.375,16.2,0.5,0.059,0,111.4,2019,TravisKelce2019,KAN2019
CooperKupp,LAR,WR,26,16,14,8.375,5.875,72.562,0.625,3.188,38.938,6.6,33.625,5.7,7.2,0.562,10.4,0.188,0.022,0.125,115.3,2019,CooperKupp2019,LAR2019
AustinEkeler,LAC,RB,24,16,8,6.75,5.75,62.062,0.5,2.625,3.312,0.6,58.75,10.2,1.3,0.938,6.1,0.062,0.009,0.125,122,2019,AustinEkeler2019,LAC2019
TylerBoyd,CIN,WR,25,16,15,9.25,5.625,65.375,0.312,3.188,38.938,6.9,26.438,4.7,8,0.188,30,0.312,0.034,0.375,76.6,2019,TylerBoyd2019,CIN2019
DarrenWaller,OAK,TE,27,16,16,7.312,5.625,71.562,0.188,3.312,35.938,6.4,35.625,6.3,7.3,0.5,11.3,0.312,0.043,0.125,108.4,2019,DarrenWaller2019,OAK2019
