Player,Tm,Pos,Age,G,GS,Att/G,Yds/G,1D/G,YBC/G,YBCont/A,YAC/G,YACont/A,BrkTkl/G,Att/BrTk,Year,PlID,TmID
DerrickHenry,TEN,RB,25,15,15,20.2,102.667,4.867,38.133,1.9,64.533,3.2,1.933,10.4,2019,DerrickHenry2019,TEN2019
EzekielElliott,DAL,RB,24,16,16,18.812,84.812,4.875,42.375,2.3,42.438,2.3,1.5,12.5,2019,EzekielElliott2019,DAL2019
NickChubb,CLE,RB,24,16,16,18.625,93.375,3.875,38.25,2.1,55.125,3,2,9.3,2019,NickChubb2019,CLE2019
ChristianMcCaffrey,CAR,RB,23,16,16,17.938,86.688,3.562,54.625,3,32.062,1.8,1,17.9,2019,ChristianMcCaffrey2019,CAR2019
ChrisCarson,SEA,RB,25,15,15,18.533,82,5,33.067,1.8,48.933,2.6,1.867,9.9,2019,ChrisCarson2019,SEA2019
JoeMixon,CIN,RB,23,16,15,17.375,71.062,3.5,30.75,1.8,40.312,2.3,1.5,11.6,2019,JoeMixon2019,CIN2019
LeonardFournette,JAX,RB,24,15,15,17.667,76.8,3.667,24,1.4,52.8,3,1.067,16.6,2019,LeonardFournette2019,JAX2019
DalvinCook,MIN,RB,24,14,14,17.857,81.071,4.286,38.5,2.2,42.571,2.4,1.429,12.5,2019,DalvinCook2019,MIN2019
MarlonMack,IND,RB,23,14,12,17.643,77.929,4.786,42.214,2.4,35.714,2,0.857,20.6,2019,MarlonMack2019,IND2019
SonyMichel,NWE,RB,24,16,14,15.438,57,3.438,32.562,2.1,24.438,1.6,1,15.4,2019,SonyMichel2019,NWE2019
LeVeonBell,NYJ,RB,27,15,15,16.333,52.6,2.4,19.133,1.2,33.467,2,1.067,15.3,2019,LeVeonBell2019,NYJ2019
CarlosHyde,HOU,RB,29,16,14,15.312,66.875,3.438,32.812,2.1,34.062,2.2,1.375,11.1,2019,CarlosHyde2019,HOU2019
JoshJacobs,OAK,RB,21,13,13,18.615,88.462,4.077,35.923,1.9,52.538,2.8,2,9.3,2019,JoshJacobs2019,OAK2019
DavidMontgomery,CHI,RB,22,16,8,15.125,55.562,3.125,31,2,24.562,1.6,1.75,8.6,2019,DavidMontgomery2019,CHI2019
AaronJones,GNB,RB,25,16,16,14.75,67.75,3.438,35.562,2.4,32.188,2.2,2,7.4,2019,AaronJones2019,GNB2019
