Player,Tm,Pos,Age,G,GS,PlID,TmID,Cmp/G,PassAtt/G,PassYds/G,PassTD/G,Int/G,RushAtt/G,RushYds/G,RushYds/Att,RushTD/G,Tgt/G,Rec/G,RecYds/G,Yds/Rec,RecTD/G,Fmb/G,FL/G,TotTD/G,2PM/G,2PP/G,FPts,PosRk,OvRank,Yr,PPR/G,Starter,Next_Yr_PPG,Next_Yr_Starter
AJBrown,TEN,WR,24,13,13,AJBrown2021,TEN2021,0.0,0.154,0.0,0.0,0.0,0.154,0.769,5.0,0.0,8.077,4.846,66.846,13.79,0.385,0.0,0.0,0.385,0.0,0.0,180.9,32,85,2021,13.915,0,,
AJBrown,TEN,WR,23,14,12,AJBrown2020,TEN2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.571,5.0,76.786,15.36,0.786,0.143,0.071,0.857,0.0,0.0,247.5,9,38,2020,17.679,0,13.915,0.0
AJBrown,TEN,WR,22,16,11,AJBrown2019,TEN2019,0.0,0.0,0.0,0.0,0.0,0.188,3.75,20.0,0.062,5.25,3.25,65.688,20.21,0.5,0.062,0.0,0.562,0.0,0.0,217.1,9,62,2019,13.569,0,17.679,0.0
AJDerby,MIA,TE,27,4,0,AJDerby2018,MIA2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,12.0,16.0,0.25,0.0,0.0,0.25,0.0,0.0,13.8,76,400,2018,3.45,0,,
AJDerby,2TM,TE,26,11,1,AJDerby2017,2TM2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.636,1.909,22.182,11.62,0.182,0.091,0.091,0.182,0.0,0.0,55.4,41,257,2017,5.036,0,3.45,0.0
AJDerby,2TM,TE,25,10,3,AJDerby2016,2TM2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,16.0,10.0,0.0,0.1,0.1,0.0,0.0,0.0,30.0,65,322,2016,3.0,0,5.036,0.0
AJDillon,GNB,RB,23,17,2,AJDillon2021,GNB2021,0.0,0.0,0.0,0.0,0.0,11.0,47.235,4.29,0.294,2.176,2.0,18.412,9.21,0.118,0.118,0.059,0.412,0.0,0.0,185.6,21,80,2021,10.918,0,,
AJDillon,GNB,RB,22,11,0,AJDillon2020,GNB2020,0.0,0.0,0.0,0.0,0.0,4.182,22.0,5.26,0.182,0.182,0.182,1.909,10.5,0.0,0.0,0.0,0.182,0.0,0.0,40.3,76,311,2020,3.664,0,10.918,0.0
AJGreen,ARI,WR,33,16,9,AJGreen2021,ARI2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,3.375,53.0,15.7,0.188,0.0,0.0,0.188,0.0,0.0,156.8,43,110,2021,9.8,0,,
AJGreen,CIN,WR,32,16,14,AJGreen2020,CIN2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.938,32.688,11.13,0.125,0.0,0.0,0.125,0.0,0.0,111.3,75,165,2020,6.956,0,9.8,0.0
AJGreen,CIN,WR,30,9,9,AJGreen2018,CIN2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.556,5.111,77.111,15.09,0.667,0.222,0.111,0.667,0.0,0.0,149.4,37,111,2018,16.6,0,6.956,0.0
AJGreen,CIN,WR,29,16,16,AJGreen2017,CIN2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.938,4.688,67.375,14.37,0.5,0.125,0.125,0.5,0.0,0.0,226.8,10,37,2017,14.175,0,16.6,0.0
AJGreen,CIN,WR,28,10,10,AJGreen2016,CIN2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.6,96.4,14.61,0.4,0.0,0.0,0.4,0.0,0.0,186.4,34,86,2016,18.64,0,14.175,0.0
AJGreen,CIN,WR,27,16,16,AJGreen2015,CIN2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,5.375,81.062,15.08,0.625,0.062,0.062,0.625,0.0,0.0,273.7,8,23,2015,17.106,0,18.64,0.0
AJGreen,CIN,WR,26,13,13,AJGreen2014,CIN2014,0.0,0.0,0.0,0.0,0.0,0.154,0.154,1.0,0.0,9.0,5.308,80.077,15.09,0.462,0.231,0.154,0.462,0.0,0.0,205.3,24,59,2014,15.792,0,17.106,0.0
AJGreen,CIN,WR,25,16,16,AJGreen2013,CIN2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.125,6.125,89.125,14.55,0.688,0.062,0.0,0.688,0.0,0.0,306.6,4,9,2013,19.162,0,15.792,0.0
AJGreen,CIN,WR,24,16,16,AJGreen2012,CIN2012,0.0,0.0,0.0,0.0,0.0,0.25,2.375,9.5,0.0,10.25,6.062,84.375,13.92,0.688,0.125,0.062,0.688,0.0,0.0,299.8,4,13,2012,18.738,0,19.162,0.0
AJJenkins,KAN,WR,25,9,2,AJJenkins2014,KAN2014,0.0,0.0,0.0,0.0,0.0,0.222,-0.222,-1.0,0.0,1.667,1.0,10.333,10.33,0.0,0.111,0.0,0.0,0.0,0.0,18.1,146,375,2014,2.011,0,,
AJJenkins,KAN,WR,24,16,1,AJJenkins2013,KAN2013,0.0,0.0,0.0,0.0,0.0,0.125,0.375,3.0,0.0,1.062,0.5,8.125,16.25,0.0,0.0,0.0,0.0,0.0,0.0,21.6,132,345,2013,1.35,0,2.011,0.0
AJMcCarron,HOU,QB,30,2,0,AJMcCarron2020,HOU2020,0.5,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,77,564,2020,0.4,0,,
AJMcCarron,HOU,QB,29,2,1,AJMcCarron2019,HOU2019,10.5,18.5,112.5,0.0,0.5,2.5,19.5,7.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,16.9,50,380,2019,8.45,0,0.4,0.0
AJMcCarron,OAK,QB,28,2,0,AJMcCarron2018,OAK2018,0.5,1.5,4.0,0.0,0.0,1.5,-1.0,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1,66,540,2018,0.05,0,8.45,0.0
AJMcCarron,CIN,QB,27,3,0,AJMcCarron2017,CIN2017,2.333,4.667,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,61,495,2017,0.867,0,0.05,0.0
AJMcCarron,CIN,QB,25,7,3,AJMcCarron2015,CIN2015,11.286,17.0,122.0,0.857,0.286,2.0,4.429,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,55.3,38,254,2015,7.9,0,0.867,0.0
AaronBurbridge,SFO,WR,23,16,3,AaronBurbridge2016,SFO2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.438,5.5,12.57,0.0,0.062,0.062,0.0,0.0,0.0,13.8,164,395,2016,0.862,0,,
AaronDobson,NWE,WR,24,8,3,AaronDobson2015,NWE2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625,1.625,17.625,10.85,0.0,0.0,0.0,0.0,0.0,0.0,27.1,140,343,2015,3.388,0,,
AaronDobson,NWE,WR,23,4,1,AaronDobson2014,NWE2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,9.5,12.67,0.0,0.0,0.0,0.0,0.0,0.0,6.8,168,455,2014,1.7,0,3.388,0.0
AaronDobson,NWE,WR,22,12,9,AaronDobson2013,NWE2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.083,43.25,14.03,0.333,0.083,0.0,0.333,0.0,0.0,112.9,59,155,2013,9.408,0,1.7,0.0
AaronHernandez,NWE,TE,23,10,10,AaronHernandez2012,NWE2012,0.0,0.0,0.0,0.0,0.0,0.1,0.5,5.0,0.0,8.3,5.1,48.3,9.47,0.5,0.0,0.0,0.5,0.0,0.0,129.8,16,136,2012,12.98,0,,
AaronJones,GNB,RB,27,15,15,AaronJones2021,GNB2021,0.0,0.0,0.0,0.0,0.0,11.4,53.267,4.67,0.267,4.333,3.467,26.067,7.52,0.4,0.133,0.067,0.667,0.0,0.0,229.0,13,49,2021,15.267,0,,
AaronJones,GNB,RB,26,14,14,AaronJones2020,GNB2020,0.0,0.0,0.0,0.0,0.0,14.357,78.857,5.49,0.643,4.5,3.357,25.357,7.55,0.143,0.143,0.0,0.786,0.0,0.0,258.9,5,32,2020,18.493,0,15.267,0.0
AaronJones,GNB,RB,25,16,16,AaronJones2019,GNB2019,0.0,0.0,0.0,0.0,0.0,14.75,67.75,4.59,1.0,4.25,3.062,29.625,9.67,0.188,0.188,0.125,1.188,0.0,0.0,314.8,3,7,2019,19.675,0,18.493,0.0
AaronJones,GNB,RB,24,12,8,AaronJones2018,GNB2018,0.0,0.0,0.0,0.0,0.0,11.083,60.667,5.47,0.667,2.917,2.167,17.167,7.92,0.083,0.083,0.083,0.75,0.0,0.0,171.4,23,88,2018,14.283,0,19.675,0.0
AaronJones,GNB,RB,23,12,4,AaronJones2017,GNB2017,0.0,0.0,0.0,0.0,0.0,6.75,37.333,5.53,0.333,1.5,0.75,1.833,2.44,0.0,0.0,0.0,0.333,0.0,0.0,80.0,50,199,2017,6.667,0,14.283,0.0
AaronRipkowski,GNB,RB,25,16,2,AaronRipkowski2017,GNB2017,0.0,0.0,0.0,0.0,0.0,0.312,0.812,2.6,0.0,0.625,0.438,2.438,5.57,0.0,0.0,0.0,0.0,0.0,0.0,12.2,130,418,2017,0.762,0,,
AaronRipkowski,GNB,RB,24,16,8,AaronRipkowski2016,GNB2016,0.0,0.0,0.0,0.0,0.0,2.125,9.375,4.41,0.125,0.625,0.562,2.875,5.11,0.062,0.0,0.0,0.188,0.0,0.0,46.6,74,268,2016,2.912,0,0.762,0.0
AaronRipkowski,GNB,RB,23,15,0,AaronRipkowski2015,GNB2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.067,1.2,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,147,487,2015,0.187,0,2.912,0.0
