Player,Team,Cmp,Att,Yds,TD,Int,AvgRate,PassRate,Year,PlID
PeytonManning,IND,357,571,4413,33,15,94.7,94.7059252772913,2000,PeytonManning2000
JeffGarcia,SFO,355,561,4278,31,10,97.6,97.5824420677362,2000,JeffGarcia2000
ElvisGrbac,KAN,326,547,4169,28,14,89.9,89.90326020719074,2000,ElvisGrbac2000
DaunteCulpepper,MIN,297,474,3937,33,16,98.0,98.04852320675104,2000,DaunteCulpepper2000
BrettFavre,GNB,338,580,3812,20,16,78.0,78.03160919540231,2000,BrettFavre2000
VinnyTestaverde,NYJ,328,590,3732,21,25,69.0,68.97598870056498,2000,VinnyTestaverde2000
SteveBeuerlein,CAR,324,533,3730,19,18,79.7,79.70997498436523,2000,SteveBeuerlein2000
MarkBrunell,JAX,311,512,3640,20,14,84.0,83.95182291666666,2000,MarkBrunell2000
KerryCollins,NYG,311,529,3610,22,13,83.1,83.13248267170762,2000,KerryCollins2000
RichGannon,OAK,284,473,3430,28,11,92.4,92.37579281183933,2000,RichGannon2000
KurtWarner,STL,235,347,3429,21,18,98.3,98.25288184438041,2000,KurtWarner2000
DonovanMcNabb,PHI,330,569,3365,21,13,77.8,77.8375805506737,2000,DonovanMcNabb2000
DrewBledsoe,NWE,312,531,3291,17,13,77.3,77.34227871939737,2000,DrewBledsoe2000
JakePlummer,ARI,270,475,2946,13,21,66.0,65.99561403508773,2000,JakePlummer2000
SteveMcNair,TEN,248,396,2847,15,13,83.2,83.17550505050505,2000,SteveMcNair2000
ShaunKing,TAM,233,428,2769,18,13,75.8,75.76908099688472,2000,ShaunKing2000
BrianGriese,DEN,216,336,2688,19,4,102.9,102.87698412698411,2000,BrianGriese2000
JonKitna,SEA,259,418,2658,18,19,75.6,75.62799043062202,2000,JonKitna2000
BradJohnson,WAS,228,365,2505,11,15,75.7,75.65639269406392,2000,BradJohnson2000
CharlieBatch,DET,221,412,2489,13,15,67.3,67.30380258899676,2000,CharlieBatch2000
JayFiedler,MIA,204,357,2402,14,14,74.5,74.468954248366,2000,JayFiedler2000
ChrisChandler,ATL,192,331,2236,10,12,73.5,73.53348439073515,2000,ChrisChandler2000
RobJohnson,BUF,175,306,2125,12,7,82.2,82.21677559912854,2000,RobJohnson2000
TrentGreen,STL,145,240,2063,16,5,101.8,101.78819444444444,2000,TrentGreen2000
JeffBlake,NOR,184,302,2025,13,9,82.7,82.72626931567328,2000,JeffBlake2000
RyanLeaf,SDG,161,322,1883,11,18,56.2,56.2111801242236,2000,RyanLeaf2000
KordellStewart,PIT,151,289,1860,11,8,73.6,73.59429065743944,2000,KordellStewart2000
GusFrerotte,DEN,138,232,1776,9,8,82.1,82.11206896551725,2000,GusFrerotte2000
DougFlutie,BUF,132,231,1700,8,3,86.5,86.49891774891775,2000,DougFlutie2000
CadeMcNown,CHI,154,280,1646,8,9,68.5,68.54166666666669,2000,CadeMcNown2000
TroyAikman,DAL,156,262,1632,7,14,64.3,64.29707379134861,2000,TroyAikman2000
TonyBanks,BAL,150,274,1578,8,8,69.3,69.26703163017032,2000,TonyBanks2000
AaronBrooks,NOR,113,194,1514,9,6,85.7,85.71735395189005,2000,AaronBrooks2000
TrentDilfer,BAL,134,226,1502,12,11,76.6,76.60398230088497,2000,TrentDilfer2000
TimCouch,CLE,137,215,1483,7,9,77.3,77.33527131782945,2000,TimCouch2000
JimHarbaugh,SDG,123,202,1416,8,10,74.6,74.60808580858085,2000,JimHarbaugh2000
JeffGeorge,WAS,113,194,1389,7,6,79.6,79.59621993127149,2000,JeffGeorge2000
AkiliSmith,CIN,118,267,1253,3,6,52.8,52.8480024968789,2000,AkiliSmith2000
DougPederson,CLE,117,210,1047,2,8,56.6,56.58730158730159,2000,DougPederson2000
ScottMitchell,CIN,89,187,966,3,8,50.8,50.79099821746881,2000,ScottMitchell2000
ShaneMatthews,CHI,102,178,964,3,6,64.0,63.97471910112359,2000,ShaneMatthews2000
KentGraham,PIT,66,148,878,1,1,63.4,63.4009009009009,2000,KentGraham2000
RandallCunningham,DAL,74,125,849,6,4,82.4,82.38333333333333,2000,RandallCunningham2000
BrockHuard,SEA,49,87,540,3,2,76.8,76.79597701149424,2000,BrockHuard2000
NeilODonnell,TEN,36,64,530,2,3,74.3,74.34895833333334,2000,NeilODonnell2000
DannyKanell,ATL,57,116,524,2,5,49.6,49.64080459770115,2000,DannyKanell2000
StoneyCase,DET,56,91,503,1,4,61.7,61.744505494505496,2000,StoneyCase2000
DaveBrown,ARI,40,69,467,2,3,70.1,70.1388888888889,2000,DaveBrown2000
DougJohnson,ATL,36,67,406,2,3,63.4,63.401741293532346,2000,DougJohnson2000
JimMiller,CHI,47,82,382,1,1,68.2,68.2418699186992,2000,JimMiller2000
DamonHuard,MIA,39,63,318,1,3,60.2,60.152116402116405,2000,DamonHuard2000
MosesMoreno,SDG,27,53,241,0,2,47.8,47.75943396226416,2000,MosesMoreno2000
AnthonyWright,DAL,22,53,237,0,3,31.7,31.721698113207548,2000,AnthonyWright2000
WarrenMoon,KAN,15,34,208,1,1,61.9,61.88725490196077,2000,WarrenMoon2000
SpergonWynn,CLE,22,54,167,0,1,41.2,41.2037037037037,2000,SpergonWynn2000
KurtWarner,STL,610,893,8259,57,40,99.85,100.15630832400149,2001,KurtWarner2001
PeytonManning,IND,700,1118,8544,59,38,89.4,89.53115682766844,2001,PeytonManning2001
BrettFavre,GNB,652,1090,7733,52,31,86.05,85.5428134556575,2001,BrettFavre2001
AaronBrooks,NOR,425,752,5346,35,28,81.05,78.80097517730496,2001,AaronBrooks2001
RichGannon,OAK,645,1022,7258,55,20,93.95,94.0516960208741,2001,RichGannon2001
TrentGreen,KAN,441,763,5846,33,29,86.45,80.75305810397553,2001,TrentGreen2001
KerryCollins,NYG,638,1097,7374,41,29,80.1,80.00037982376178,2001,KerryCollins2001
JakePlummer,ARI,574,1000,6599,31,35,72.8,73.16250000000001,2001,JakePlummer2001
JeffGarcia,SFO,671,1065,7816,63,22,96.2,96.27738654147106,2001,JeffGarcia2001
DougFlutie,SDG,426,752,5164,23,21,79.25,76.46276595744682,2001,DougFlutie2001
BradJohnson,TAM,568,924,5911,24,26,76.7,76.89844877344876,2001,BradJohnson2001
SteveMcNair,TEN,512,827,6197,36,25,86.7,86.81227327690448,2001,SteveMcNair2001
MarkBrunell,JAX,600,985,6949,39,27,84.05,84.01649746192894,2001,MarkBrunell2001
JayFiedler,MIA,477,807,5692,34,33,77.4,77.73389095415118,2001,JayFiedler2001
DonovanMcNabb,PHI,615,1062,6598,46,25,81.05,80.8576585059636,2001,DonovanMcNabb2001
JonKitna,CIN,572,999,5874,30,41,68.35,67.2067901234568,2001,JonKitna2001
KordellStewart,PIT,417,731,4969,25,19,77.65,78.5140218878249,2001,KordellStewart2001
TimCouch,CLE,409,669,4523,24,30,75.2,74.47371699053313,2001,TimCouch2001
ElvisGrbac,BAL,591,1014,7202,43,32,80.5,81.2335634451019,2001,ElvisGrbac2001
ChrisWeinke,CAR,293,540,2931,11,19,62.0,62.04475308641976,2001,ChrisWeinke2001
ChrisChandler,ATL,415,696,5083,26,26,78.8,79.08884099616857,2001,ChrisChandler2001
TomBrady,NWE,264,413,2843,18,12,86.5,86.45581113801454,2001,TomBrady2001
BrianGriese,DEN,491,787,5515,42,23,90.7,88.88447691656079,2001,BrianGriese2001
VinnyTestaverde,NYJ,588,1031,6484,36,39,72.15,71.69212738441642,2001,VinnyTestaverde2001
DaunteCulpepper,MIN,532,840,6549,47,29,90.65,91.61210317460316,2001,DaunteCulpepper2001
CharlieBatch,DET,419,753,4881,25,27,72.05,71.58864541832669,2001,CharlieBatch2001
TonyBanks,WAS,348,644,3964,18,18,70.3,70.43219461697724,2001,TonyBanks2001
