Starter,Tm,Year,PlID,TmID
KevinKolb,ARI,2012,KevinKolb2012,ARI2012
MattRyan,ATL,2012,MattRyan2012,ATL2012
JoeFlacco,BAL,2012,JoeFlacco2012,BAL2012
RyanFitzpatrick,BUF,2012,RyanFitzpatrick2012,BUF2012
CamNewton,CAR,2012,CamNewton2012,CAR2012
JayCutler,CHI,2012,JayCutler2012,CHI2012
AndyDalton,CIN,2012,AndyDalton2012,CIN2012
BrandonWeeden,CLE,2012,BrandonWeeden2012,CLE2012
TonyRomo,DAL,2012,TonyRomo2012,DAL2012
PeytonManning,DEN,2012,PeytonManning2012,DEN2012
MatthewStafford,DET,2012,MatthewStafford2012,DET2012
AaronRodgers,GNB,2012,AaronRodgers2012,GNB2012
MattSchaub,HOU,2012,MattSchaub2012,HOU2012
AndrewLuck,IND,2012,AndrewLuck2012,IND2012
ChadHenne,JAX,2012,ChadHenne2012,JAX2012
MattCassel,KAN,2012,MattCassel2012,KAN2012
RyanTannehill,MIA,2012,RyanTannehill2012,MIA2012
ChristianPonder,MIN,2012,ChristianPonder2012,MIN2012
DrewBrees,NOR,2012,DrewBrees2012,NOR2012
TomBrady,NWE,2012,TomBrady2012,NWE2012
EliManning,NYG,2012,EliManning2012,NYG2012
MarkSanchez,NYJ,2012,MarkSanchez2012,NYJ2012
CarsonPalmer,OAK,2012,CarsonPalmer2012,OAK2012
MichaelVick,PHI,2012,MichaelVick2012,PHI2012
BenRoethlisberger,PIT,2012,BenRoethlisberger2012,PIT2012
PhilipRivers,SDG,2012,PhilipRivers2012,SDG2012
RussellWilson,SEA,2012,RussellWilson2012,SEA2012
AlexSmith,SFO,2012,AlexSmith2012,SFO2012
SamBradford,STL,2012,SamBradford2012,STL2012
JoshFreeman,TAM,2012,JoshFreeman2012,TAM2012
MattHasselbeck,TEN,2012,MattHasselbeck2012,TEN2012
RobertGriffinIII,WAS,2012,RobertGriffinIII2012,WAS2012
CarsonPalmer,ARI,2013,CarsonPalmer2013,ARI2013
MattRyan,ATL,2013,MattRyan2013,ATL2013
JoeFlacco,BAL,2013,JoeFlacco2013,BAL2013
EJManuel,BUF,2013,EJManuel2013,BUF2013
CamNewton,CAR,2013,CamNewton2013,CAR2013
JayCutler,CHI,2013,JayCutler2013,CHI2013
AndyDalton,CIN,2013,AndyDalton2013,CIN2013
JasonCampbell,CLE,2013,JasonCampbell2013,CLE2013
TonyRomo,DAL,2013,TonyRomo2013,DAL2013
PeytonManning,DEN,2013,PeytonManning2013,DEN2013
MatthewStafford,DET,2013,MatthewStafford2013,DET2013
AaronRodgers,GNB,2013,AaronRodgers2013,GNB2013
MattSchaub,HOU,2013,MattSchaub2013,HOU2013
AndrewLuck,IND,2013,AndrewLuck2013,IND2013
ChadHenne,JAX,2013,ChadHenne2013,JAX2013
AlexSmith,KAN,2013,AlexSmith2013,KAN2013
RyanTannehill,MIA,2013,RyanTannehill2013,MIA2013
