,Name,Pos,Predicted PPG,ppr_g,Difference,Predicted PPR,AbsDifference,Ovr Rank
0,ChristianMcCaffrey,RB,24.599,18.214,6.384550634989779,418.183,6.384550634989779,1
1,DavanteAdams,WR,20.302,21.519,-1.2173677339597688,345.134,1.2173677339597688,2
2,DakPrescott,QB,19.964,20.038,-0.07399332296451888,339.388,0.07399332296451888,3
3,DalvinCook,RB,19.195,15.869,3.3259366647551474,326.315,3.3259366647551474,4
4,TravisKelce,TE,18.766,16.425,2.3410185407028052,319.022,2.3410185407028052,5
5,JustinJefferson,WR,18.328,19.435,-1.1069787457284654,311.576,1.1069787457284654,6
6,PatrickMahomes,QB,17.945,21.276,-3.3312426644526276,305.065,3.3312426644526276,7
7,StefonDiggs,WR,17.907,16.794,1.112855140349584,304.419,1.112855140349584,8
8,KylerMurray,QB,17.806,21.464,-3.6579822094110206,302.702,3.6579822094110206,9
9,JustinHerbert,QB,17.755,22.4,-4.644521598490236,301.835,4.644521598490236,10
10,AJBrown,WR,17.536,13.915,3.6208411401096683,298.112,3.6208411401096683,11
11,DanielJones,QB,17.3,15.227,2.072922416728101,294.1,2.072922416728101,12
12,RyanTannehill,QB,17.092,15.788,1.3044359135074295,290.564,1.3044359135074295,13
13,JoeBurrow,QB,16.873,19.638,-2.7651771579480915,286.841,2.7651771579480915,14
14,RussellWilson,QB,16.852,17.343,-0.49058208769019984,286.484,0.49058208769019984,15
15,CalvinRidley,WR,16.788,14.22,2.56761442057355,285.396,2.56761442057355,16
16,MattRyan,QB,16.786,13.112,3.6735070161956056,285.362,3.6735070161956056,17
17,TeddyBridgewater,QB,16.755,14.479,2.276066597922643,284.835,2.276066597922643,18
18,SamDarnold,QB,16.613,13.108,3.5046196174010653,282.421,3.5046196174010653,19
19,KirkCousins,QB,16.58,18.769,-2.1890651459546646,281.86,2.1890651459546646,20
20,DJMoore,WR,16.547,13.971,2.5759651686033926,281.299,2.5759651686033926,21
21,CarsonWentz,QB,16.465,15.176,1.2889912899405669,279.905,1.2889912899405669,22
22,DKMetcalf,WR,16.398,14.371,2.0271521274556594,278.766,2.0271521274556594,23
23,MatthewStafford,QB,16.299,19.394,-3.094682069541861,277.083,3.094682069541861,24
24,MarcusMariota,QB,16.115,1.49,14.624555616223413,273.955,14.624555616223413,25
25,WillFuller,WR,15.995,4.3,11.695284277581514,271.915,11.695284277581514,26
26,DerekCarr,QB,15.994,15.118,0.8760791266844503,271.898,0.8760791266844503,27
27,DeAndreHopkins,WR,15.985,14.72,1.2646715880278165,271.745,1.2646715880278165,28
28,LamarJackson,QB,15.906,20.0,-4.093630472147089,270.402,4.093630472147089,29
29,GeorgeKittle,TE,15.866,14.143,1.7231494550593887,269.722,1.7231494550593887,30
30,DavidMontgomery,RB,15.853,15.0,0.8534780451257404,269.501,0.8534780451257404,31
31,AaronRodgers,QB,15.732,20.831,-5.098839615145202,267.444,5.098839615145202,32
32,TyreekHill,WR,15.502,17.441,-1.9388103970266357,263.534,1.9388103970266357,33
33,BenRoethlisberger,QB,15.392,13.631,1.7606961787284572,261.664,1.7606961787284572,34
34,DerrickHenry,RB,15.293,24.162,-8.868888239976151,259.981,8.868888239976151,35
35,MylesGaskin,RB,15.283,10.212,5.07053701510058,259.811,5.07053701510058,36
36,JoshAllen,QB,15.24,23.682,-8.441709123264825,259.08,8.441709123264825,37
